da,text,delex_da,delex_text
"inform(name=""Pivo & Basilico"")&inform(food=Mexican)&inform(good_for_meal=lunch)",Mohu vám doporučit mexický oběd v restauraci Pivo & Basilico.,inform(name=X-name)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal),mohu vám doporučit X-food X-good_for_meal v restauraci X-name .
inform(name=Místo)&inform(kids_allowed=yes),"Ano, do restaurace Místo můžete s dětmi.",inform(name=X-name)&inform(kids_allowed=yes),"ano , do restaurace X-name můžete s dětmi ."
"inform(name=Ananta)&inform(address=""Žatecká 49"")",Anantu najdete v Žatecké 49.,inform(name=X-name)&inform(address=X-address),X-name najdete v X-address .
goodbye(),"Děkuji Vám, mějte se krásně.",goodbye(),"děkuji vám , mějte se krásně ."
inform(name=Ferdinanda)&inform(price_range=cheap)&inform(food=French),Ferdinanda patří do levné cenové kategorie a nabízí francouzskou kuchyni.,inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food),X-name patří do X-price_range cenové kategorie a nabízí X-food kuchyni .
"inform(name=""Café Savoy"")&inform(price=""150 Kč"")",V Café Savoy zaplatíte 150 Kč.,inform(name=X-name)&inform(price=X-price),v X-name zaplatíte X-price .
inform(name=Ananta)&inform(phone=291326178),Telefonní číslo podniku Ananta je 291326178.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo podniku X-name je X-phone .
goodbye(),Děkuji. Zase někdy na shledanou.,goodbye(),děkuji . zase někdy na shledanou .
?request(price_range),"Omlouvám se, ale v jaké cenové skupině hledáte?",?request(price_range),"omlouvám se , ale v jaké cenové skupině hledáte ?"
"inform(name=""Green Spirit"")&inform(price_range=expensive)&inform(kids_allowed=no)",Green Spirit je drahá restaurace se zákazem vstupu dětem.,inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=no),X-name je X-price_range restaurace se zákazem vstupu dětem .
"inform(near=""Powder Tower"")&inform(name=""Café Savoy"")",Café Savoy se nachází poblíž Prašné brány.,inform(near=X-near)&inform(name=X-name),X-name se nachází poblíž X-near .
"?select(kids_allowed=""yes or no"")","Přejete si podnik, kam je povolen vstup s dětmi, nebo kam povolen není?","?select(kids_allowed=""yes or no"")","přejete si podnik , kam je povolen vstup s dětmi , nebo kam povolen není ?"
?reqmore(),Mohu vám ještě nějak pomoci?,?reqmore(),mohu vám ještě nějak pomoci ?
"inform(name=""Green Spirit"")&inform(phone=212496190)",Telefonní číslo do podniku Green Spirit je 212496190.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do podniku X-name je X-phone .
"inform(address=""Tržiště 38"")&inform(name=""Baráčnická rychta"")",Baráčnická rychta se nachází na adrese Tržiště 38,inform(address=X-address)&inform(name=X-name),X-name se nachází na adrese X-address
goodbye(),Ráda jsem pomohla. Na shledanou.,goodbye(),ráda jsem pomohla . na shledanou .
?request(food),Jaký druh jídla?,?request(food),jaký druh jídla ?
?confirm(food=dont_care),Na druhu jídla vám nezáleží?,?confirm(food=dont_care),na druhu jídla vám nezáleží ?
?confirm(food=dont_care),"Můžu potvrdit, že Vám nezáleží na druhu jídla?",?confirm(food=dont_care),"můžu potvrdit , že vám nezáleží na druhu jídla ?"
?select(food=Asian)&?select(food=dont_care),Prosím zvolte mezi libovolným a asijským jídlem.,?select(food=X-food)&?select(food=dont_care),prosím zvolte mezi libovolným a X-food jídlem .
?confirm(food=German),"Mohu se ujistit, že jste si vybral německou kuchyni?",?confirm(food=X-food),"mohu se ujistit , že jste si vybral X-food kuchyni ?"
?confirm(food=Asian),"Potvrdíte mi, že hledáte asijskou kuchyni?",?confirm(food=X-food),"potvrdíte mi , že hledáte X-food kuchyni ?"
goodbye(),"Díky, na shledanou.",goodbye(),"díky , na shledanou ."
"inform(name=""Baráčnická rychta"")&inform(price_range=moderate)&inform(good_for_meal=dinner)&inform(food=Turkish)",Baráčnická rychta podává tureckou kuchyni za přijatelné ceny a dobře zde povečeříte.,inform(name=X-name)&inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal)&inform(food=X-food),X-name podává X-food kuchyni za X-price_range ceny a dobře zde X-good_for_meal .
inform_no_match(food=American)&inform_no_match(price_range=moderate),Nemohu najít žádné americké restaurace s průměrnými cenami.,inform_no_match(food=X-food)&inform_no_match(price_range=X-price_range),nemohu najít žádné X-food restaurace s X-price_range cenami .
inform(name=BarBar)&inform(food=Indian)&inform(price_range=moderate)&inform(good_for_meal=dinner),BarBar servíruje indické pokrmy a večeře za průměrné ceny.,inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal),X-name servíruje X-food pokrmy a X-good_for_meal za X-price_range ceny .
"inform(name=""Café Savoy"")&inform(address=""Karmelitská 36"")&inform(postcode=""138 00"")","Café Savoy můžete najít v Karmelitské 36, 138 00.",inform(name=X-name)&inform(address=X-address)&inform(postcode=X-postcode),"X-name můžete najít v X-address , X-postcode ."
goodbye(),"Nemáte zač, na shledanou.",goodbye(),"nemáte zač , na shledanou ."
inform(type=restaurant)&inform(kids_allowed=yes)&inform(count=94),"Je zde 94 restaurací, kam mohou děti.",inform(type=restaurant)&inform(kids_allowed=yes)&inform(count=X-count),"je zde X-count restaurací , kam mohou děti ."
?request(area),V jaké oblasti hledáte restauraci?,?request(area),v jaké oblasti hledáte restauraci ?
"inform(near=""Prague Castle"")&inform(type=restaurant)&inform(kids_allowed=yes)&inform(count=2)",V blízkosti Pražského hradu se nacházejí 2 restaurace vhodné pro děti,inform(near=X-near)&inform(type=restaurant)&inform(kids_allowed=yes)&inform(count=X-count),v blízkosti X-near se nacházejí X-count restaurace vhodné pro děti
?request(food),Jaký typ kuchyně hledáte?,?request(food),jaký typ kuchyně hledáte ?
"?confirm(near=""Charles Bridge"")",Přejete si být Karlova mostu?,?confirm(near=X-near),přejete si být X-near ?
?confirm(area=Hradčany),Chcete být poblíž Hradčan?,?confirm(area=X-area),chcete být poblíž X-area ?
inform(name=Ferdinanda)&inform(area=Nusle)&inform(food=Asian)&inform(kids_allowed=yes),"Doporučuji restauraci Ferdinanda. Je v Nuslích, nabízí asijská jídla a je vhodná pro děti.",inform(name=X-name)&inform(area=X-area)&inform(food=X-food)&inform(kids_allowed=yes),"doporučuji restauraci X-name . je v X-area , nabízí X-food jídla a je vhodná pro děti ."
"inform(price=""between 0 and 150 Kč"")&inform(address=""Náprstkova 12"")&inform(name=""Baráčnická rychta"")","Jmenuje se Baráčnická rychta, adresa je ulice Náprstkova 12 a ceny se pohybují od 0 do 150 Kč.",inform(price=X-price)&inform(address=X-address)&inform(name=X-name),"jmenuje se X-name , adresa je ulice X-address a ceny se pohybují X-price ."
goodbye(),Vaše spokojenost je mi odměnou. Na shledanou!,goodbye(),vaše spokojenost je mi odměnou . na shledanou !
"inform(name=Ferdinanda)&inform(near=""Powder Tower"")&inform(good_for_meal=dinner)&inform(kids_allowed=no)",Ferdinanda je poblíž Prašné brány. Nepovoluje vzít s sebou na večeři děti.,inform(name=X-name)&inform(near=X-near)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=no),X-name je poblíž X-near . nepovoluje vzít s sebou na X-good_for_meal děti .
"inform(area=Smíchov)&inform(address=""Kaprova 21"")&inform(name=Místo)",Místo sídlí na Smíchově a přesná adresa je Kaprova 21.,inform(area=X-area)&inform(address=X-address)&inform(name=X-name),X-name sídlí na X-area a přesná adresa je X-address .
goodbye(),Přeji dobrou chuť k večeři.,goodbye(),přeji dobrou chuť k večeři .
inform(name=Ferdinanda)&inform(price_range=cheap),Ferdinanda je celkem levná restaurace.,inform(name=X-name)&inform(price_range=X-price_range),X-name je celkem X-price_range restaurace .
"inform(name=""U Tučňáků"")&inform(area=Dejvice)",U Tučňáků se nachází v Dejvicích.,inform(name=X-name)&inform(area=X-area),X-name se nachází v X-area .
"inform(address=""Štefánikova 22"")&inform(name=""U Tučňáků"")",Adresa restaurace U Tučňáků je ulice Štefánikova 22.,inform(address=X-address)&inform(name=X-name),adresa restaurace X-name je ulice X-address .
goodbye(),Děkuji vám. Na shledanou.,goodbye(),děkuji vám . na shledanou .
inform_no_match(food=Mexican)&inform_no_match(price_range=expensive),Nejsou tu žádné drahé mexické podniky.,inform_no_match(food=X-food)&inform_no_match(price_range=X-price_range),nejsou tu žádné X-price_range X-food podniky .
"inform(name=""Pivo & Basilico"")&inform(food=vegetarian)",Pivo & Basilico vaří vegetariánsky.,inform(name=X-name)&inform(food=X-food),X-name vaří X-food .
"inform(name=""Café Savoy"")&inform(food=Italian)",Café Savoy vaří italská jídla.,inform(name=X-name)&inform(food=X-food),X-name vaří X-food jídla .
"inform(name=""Pivo & Basilico"")&inform(phone=264056758)",Pivo & Basilico má telefonní číslo 264056758.,inform(name=X-name)&inform(phone=X-phone),X-name má telefonní číslo X-phone .
"inform(name=""Baráčnická rychta"")&inform(address=""Malostranské náměstí 26"")",Baráčnická rychta má adresu Malostranské náměstí 26.,inform(name=X-name)&inform(address=X-address),X-name má adresu X-address .
goodbye(),Děkuji a přeji krásný den,goodbye(),děkuji a přeji krásný den
"inform(name=""U Konšelů"")&inform(food=Chinese)&inform(good_for_meal=dinner)&inform(price_range=cheap)","U Konšelů je levná restaurace, kde podávají večeře a čínskou kuchyni.",inform(name=X-name)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal)&inform(price_range=X-price_range),"X-name je X-price_range restaurace , kde podávají X-good_for_meal a X-food kuchyni ."
"inform(name=""U Tučňáků"")&inform(phone=219220490)",S restaurací U Tučňáků se můžete spojit na čísle 219220490.,inform(name=X-name)&inform(phone=X-phone),s restaurací X-name se můžete spojit na čísle X-phone .
"inform(area=Nusle)&inform(name=""Café Savoy"")",Café Savoy leží v Nuslích.,inform(area=X-area)&inform(name=X-name),X-name leží v X-area .
goodbye(),Mějte se.,goodbye(),mějte se .
"inform(name=""Green Spirit"")&inform(good_for_meal=dinner)&inform(kids_allowed=yes)","Green Spirit je dobré místo na večeři, kde je povolen vstup s dětmi.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),"X-name je dobré místo na X-good_for_meal , kde je povolen vstup s dětmi ."
"inform(name=""Baráčnická rychta"")&inform(good_for_meal=dinner)&inform(kids_allowed=yes)",Baráčnická rychta je dobré místo na večeři a hodí se pro děti.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes),X-name je dobré místo na X-good_for_meal a hodí se pro děti .
"inform(name=""Café Savoy"")&inform(food=American)",Je zde americká restaurace s názvem Café Savoy.,inform(name=X-name)&inform(food=X-food),je zde X-food restaurace s názvem X-name .
inform(type=restaurant)&inform(good_for_meal=dinner)&inform(kids_allowed=yes)&inform(count=89),"Našla jsem 89 míst, kde můžete povečeřet a kde jsou děti vítány.",inform(type=restaurant)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes)&inform(count=X-count),"našla jsem X-count míst , kde můžete X-good_for_meal a kde jsou děti vítány ."
?request(price_range),Jakou kategorii cen hledáte?,?request(price_range),jakou kategorii cen hledáte ?
"inform(address=""Malostranské náměstí 22"")&inform(name=""Kočár z Vídně"")",Restauraci Kočár z Vídně najdete na adrese Malostranské náměstí 22.,inform(address=X-address)&inform(name=X-name),restauraci X-name najdete na adrese X-address .
?request(good_for_meal),"Mohu Vám pomoci najít vhodnou restauraci pro snídani, brunch, oběd nebo večeři?",?request(good_for_meal),"mohu vám pomoci najít vhodnou restauraci pro snídani , brunch , oběd nebo večeři ?"
goodbye(),Dobrý den,goodbye(),dobrý den
?request(price_range),"Mohu se ujistit, že hledáte restauraci v určité cenové skupině?",?request(price_range),"mohu se ujistit , že hledáte restauraci v určité cenové skupině ?"
?request(price_range),Můžete upřesnit cenovou kategorii?,?request(price_range),můžete upřesnit cenovou kategorii ?
?request(price_range),Mohu se zeptat na vaši cenovou představu?,?request(price_range),mohu se zeptat na vaši cenovou představu ?
?request(price_range),"Můžete mě prosím říct, jak vysoké ceny si přejete?",?request(price_range),"můžete mě prosím říct , jak vysoké ceny si přejete ?"
?request(price_range),"Mohu potvrdit, že hledáte konkrétní cenovou úroveň?",?request(price_range),"mohu potvrdit , že hledáte konkrétní cenovou úroveň ?"
?request(price_range),"Můžete mi, prosím, říct cenovou kategorii?",?request(price_range),"můžete mi , prosím , říct cenovou kategorii ?"
"inform(food=French)&inform(name=""Café Savoy"")&inform(price_range=moderate)&inform(kids_allowed=yes)",Café Savoy je středně drahá francouzská restaurace vhodná pro děti,inform(food=X-food)&inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),X-name je X-price_range X-food restaurace vhodná pro děti
"inform(price=""between 150 and 220 Kč"")&inform(address=""Újezd 25"")&inform(name=""Baráčnická rychta"")",Baráčnická rychta se nachází na adrese Újezd 25. Ceny se pohybují od 150 do 220 Kč.,inform(price=X-price)&inform(address=X-address)&inform(name=X-name),X-name se nachází na adrese X-address . ceny se pohybují X-price .
"inform(name=""U Konšelů"")&inform(price_range=expensive)&inform(food=Chinese)&inform(kids_allowed=yes)","U Konšelů je útulná restaurace servírující čínské pokrmy, ceny jsou spíše vyšší a děti sem mají vstup povolen.",inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food)&inform(kids_allowed=yes),"X-name je útulná restaurace servírující X-food pokrmy , ceny jsou spíše X-price_range a děti sem mají vstup povolen ."
"inform_only_match(name=""Švejk Restaurant"")&inform_only_match(food=Mexican)&inform_only_match(price_range=moderate)&inform_only_match(kids_allowed=yes)","Kromě Švejk Restaurantu tu není žádná jiná středně drahá mexická restaurace, kam mohou děti",inform_only_match(name=X-name)&inform_only_match(food=X-food)&inform_only_match(price_range=X-price_range)&inform_only_match(kids_allowed=yes),"kromě X-name tu není žádná jiná X-price_range X-food restaurace , kam mohou děti"
"inform(address=""Žatecká 8"")&inform(name=""U Tučňáků"")",Adresa U Tučňáků je Žatecká 8.,inform(address=X-address)&inform(name=X-name),adresa X-name je X-address .
